state,state_abbr,minimum_wage
Alabama,AL,7.25
Alaska,AK,10.34
Arizona,AZ,12.8
Arkansas,AR,11
California,CA,15
Colorado,CO,12.56
Connecticut,CT,14
Delaware,DE,10.5
Florida,FL,10
Georgia,GA,7.25
Hawaii,HI,12
Idaho,ID,7.25
Illinois,IL,12
Indiana,IN,7.25
Iowa,IA,7.25
Kansas,KS,7.25
Kentucky,KY,7.25
Louisiana,LA,7.25
Maine,ME,12.75
Maryland,MD,12.5
Massachusetts,MA,14.25
Michigan,MI,9.87
Minnesota,MN,10.33
Mississippi,MS,7.25
Missouri,MO,11.15
Montana,MT,9.2
Nebraska,NE,9
Nevada,NV,10.5
New Hampshire,NH,7.25
New Jersey,NJ,13
New Mexico,NM,11.5
New York,NY,13.2
North Carolina,NC,7.25
North Dakota,ND,7.25
Ohio,OH,9.3
Oklahoma,OK,7.25
Oregon,OR,13.5
Pennsylvania,PA,7.25
Rhode Island,RI,12.25
South Carolina,SC,7.25
South Dakota,SD,9.95
Tennessee,TN,7.25
Texas,TX,7.25
Utah,UT,7.25
Vermont,VT,12.55
Virginia,VA,11
Washington,WA,14.49
West Virginia,WV,8.75
Wisconsin,WI,7.25
Wyoming,WY,7.25
